run,tag,step,value,wall_time
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,819200,8676.0703125,1767085418.9844406
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,835584,8671.8095703125,1767085466.15603
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,851968,8635.01953125,1767085514.7393882
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,868352,8642.330078125,1767085564.4951196
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,884736,8598.330078125,1767085613.9026055
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,901120,8531.4697265625,1767085658.084181
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,917504,8425.91015625,1767085705.7685156
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,933888,8386.1201171875,1767085750.8736005
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,950272,8392.8095703125,1767085802.8190641
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,966656,8304.4599609375,1767085851.7784493
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,983040,8309.740234375,1767085897.2581024
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,999424,8249.5302734375,1767085945.524857
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1015808,8130.68017578125,1767085992.6760976
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1032192,8046.5498046875,1767086042.5670192
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1048576,8061.2900390625,1767086094.2949858
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1064960,8016.43017578125,1767086142.5547493
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1081344,8094.43994140625,1767086188.3775952
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1097728,8094.14990234375,1767086235.6118615
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1114112,8164.60986328125,1767086280.2942228
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1130496,8233.650390625,1767086334.1495912
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1146880,8276.66015625,1767086385.4180944
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1163264,8263.7802734375,1767086429.6444006
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1179648,8227.6298828125,1767086475.6885307
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1196032,8258.4296875,1767086520.2894783
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1212416,8278.2900390625,1767086565.8102124
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1228800,8410.3203125,1767086609.7717934
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1245184,8407.73046875,1767086654.7960985
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1261568,8368.75,1767086700.878176
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1277952,8368.009765625,1767086746.6078246
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1294336,8341.8603515625,1767086800.7502089
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1310720,8287.099609375,1767086846.7991874
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1327104,8245.2802734375,1767086891.6565814
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1343488,8197.009765625,1767086937.6803935
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1359872,8186.2099609375,1767086981.7242517
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1376256,8240.5498046875,1767087027.1351488
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1392640,8306.58984375,1767087078.7834773
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1409024,8336.1796875,1767087125.7528038
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1425408,8332.2001953125,1767087170.539034
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1441792,8306.2998046875,1767087216.3890536
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1458176,8371.490234375,1767087271.6273162
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1474560,8438.4501953125,1767087318.1394668
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1490944,8410.16015625,1767087363.6992655
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1507328,8515.9599609375,1767087407.907478
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1523712,8541.849609375,1767087456.572463
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1540096,8536.6103515625,1767087502.2454996
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1556480,8598.51953125,1767087548.8544967
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1572864,8583.490234375,1767087593.966444
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1589248,8566.9599609375,1767087640.7073562
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1605632,8608.5703125,1767087686.3467937
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1622016,8575.8896484375,1767087733.1664593
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1638400,8651.23046875,1767087780.2072985
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1654784,8710.1796875,1767087832.5473657
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1671168,8687.259765625,1767087877.1934114
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1687552,8655.669921875,1767087922.6689854
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1703936,8724.0703125,1767087967.1378767
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1720320,8667.6298828125,1767088014.2311342
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1736704,8727.6298828125,1767088058.8389661
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1753088,8794.58984375,1767088103.9816968
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1769472,8757.009765625,1767088148.6708572
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1785856,8776.75,1767088200.42563
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1802240,8833.990234375,1767088247.2121735
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1818624,8912.9404296875,1767088298.71678
